scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,7897969,7925431,7911280,25000,0.000926,0.000894,0.013224,0.876891
scaffold_1,7925432,7953031,7940141,25000,0.000897,0.000884,0.014061,0.88619
scaffold_1,7953032,7985718,7968560,25000,0.000902,0.000957,0.010071,0.838042
scaffold_1,7985719,8035685,8015543,25000,0.002004,0.001895,0.008599,0.642229
scaffold_1,8035686,8067895,8053614,25000,0.001615,0.001426,0.010607,0.758765
scaffold_1,8067896,8094075,8080605,25000,0.002288,0.002385,0.015878,0.753127
scaffold_1,8094076,8134069,8119629,25000,0.000531,0.000554,0.000817,0.210453
scaffold_1,8134070,8161992,8147221,25000,0.000655,0.000667,0.000616,-0.036783
scaffold_1,8161993,8193936,8176733,25000,0.000476,0.000555,0.005854,0.845058
scaffold_1,8193937,8226472,8210780,25000,0.000879,0.001044,0.01566,0.889424
scaffold_1,8226473,8259125,8245526,25000,0.00081,0.000866,0.016274,0.906477
scaffold_1,8259126,8285707,8272849,25000,0.000739,0.000725,0.017954,0.92528
scaffold_1,8285708,8315520,8298507,25000,0.000188,0.000157,0.009335,0.965238
scaffold_1,8315521,8346421,8331855,25000,0.000875,0.000919,0.011395,0.860351
scaffold_1,8346422,8379385,8363183,25000,0.000625,0.000688,0.008139,0.857113
scaffold_1,8379386,8405447,8392430,25000,0.000677,0.00072,0.00588,0.796122
scaffold_1,8405448,8441313,8424145,25000,0.000875,0.000968,0.008321,0.803936
scaffold_1,8441314,8491717,8470416,25000,0.000849,0.000866,0.011576,0.865759
scaffold_1,8491718,8521747,8507880,25000,0.002376,0.002102,0.006645,0.50878
scaffold_1,8521748,8547801,8534816,25000,0.000951,0.000889,0.009857,0.836412
scaffold_1,8547802,8574211,8561080,25000,0.001023,0.001012,0.00741,0.775357
scaffold_1,8574212,8600759,8587541,25000,0.000845,0.000738,0.01096,0.870315
scaffold_1,8600760,8628424,8613799,25000,0.002027,0.002203,0.007281,0.557627
scaffold_1,8628425,8655663,8642981,25000,0.001492,0.001877,0.01722,0.82915
scaffold_1,8655664,8682079,8668749,25000,0.000491,0.000441,0.012518,0.931118
scaffold_1,8682080,8729853,8708068,25000,0.000312,0.000308,0.001298,0.622108
scaffold_1,8729854,8755945,8743197,25000,0.000685,0.00052,0.007151,0.848731
scaffold_1,8755946,8782667,8768924,25000,0.001049,0.001077,0.015517,0.876698
scaffold_1,8782668,8808324,8795514,25000,0.001891,0.002191,0.013692,0.75029
scaffold_1,8808325,8837357,8821380,25000,0.001039,0.001022,0.007071,0.751617
scaffold_1,8837358,8869601,8854755,25000,0.001078,0.001226,0.006129,0.694605
scaffold_1,8869602,8923303,8894544,25000,0.000366,0.000417,0.004884,0.860459
scaffold_1,8923304,8952782,8937666,25000,0.000568,0.000538,0.006612,0.851381
scaffold_1,8952783,8982276,8968617,25000,0.000714,0.000718,0.010664,0.879696
scaffold_1,8982277,9007478,8994883,25000,0.000981,0.001079,0.009938,0.819859
scaffold_1,9007479,9035052,9021087,25000,0.000829,0.000819,0.007967,0.820196
scaffold_1,9035053,9069145,9051971,25000,0.000961,0.000786,0.00758,0.798556
scaffold_1,9069146,9096063,9082410,25000,0.002063,0.002397,0.014291,0.736257
scaffold_1,9096064,9137178,9119615,25000,0.002201,0.002187,0.010469,0.667974
scaffold_1,9137179,9163106,9149982,25000,0.000815,0.00075,0.00715,0.810675
scaffold_1,9163107,9189346,9176267,25000,0.002238,0.002212,0.016305,0.769081
scaffold_1,9189347,9216011,9203069,25000,0.000827,0.000852,0.012116,0.876057
scaffold_1,9216012,9244751,9230775,25000,0.000699,0.000759,0.011284,0.880687
scaffold_1,9244752,9280100,9264182,25000,0.000811,0.000712,0.008774,0.846311
scaffold_1,9280101,9329315,9304801,25000,0.001035,0.001198,0.012515,0.842445
scaffold_1,9329316,9355933,9342946,25000,0.000718,0.000484,0.010394,0.8937
