scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_54,1399981,1492236,1454220,25000,0.003145,0.002837,0.002923,-0.012283,323561,scaffold_54_3
scaffold_54,1492237,1543619,1523521,25000,0.001715,0.002192,0.002153,0.051624,323561,scaffold_54_3
scaffold_54,1543620,1604472,1571137,15201,0.0049,0.004079,0.004553,0.007482,323561,scaffold_54_3
scaffold_57,677615,748799,717928,25000,0.002678,0.002899,0.002542,-0.049423,131504,scaffold_57_1
scaffold_59,170064,255323,223613,25000,0.002021,0.001505,0.001779,-0.000174,167407,scaffold_59_1
scaffold_59,404600,524722,481972,25000,0.002018,0.002502,0.002246,-0.003326,176918,scaffold_59_2
scaffold_59,524723,551315,538054,25000,0.003139,0.003786,0.003829,0.053385,176918,scaffold_59_2
scaffold_59,1292550,1393745,1363008,25000,0.00186,0.002419,0.002749,0.131779,131463,scaffold_59_3
scaffold_59,1393746,1469713,1434687,25000,0.002187,0.001516,0.002361,0.106521,131463,scaffold_59_3
scaffold_59,1469714,1492671,1481053,17078,0.002691,0.00246,0.002953,0.06618,131463,scaffold_59_3
scaffold_6,604097,698515,641327,25000,0.005985,0.005419,0.006882,0.0994,141409,scaffold_6_1
scaffold_6,863556,902649,881572,25000,0.002617,0.002667,0.003194,0.100286,166782,scaffold_6_2
scaffold_6,902650,999937,945672,25000,0.002801,0.002492,0.002696,0.008285,166782,scaffold_6_2
scaffold_6,1392259,1453745,1429729,25000,0.005307,0.001894,0.006011,0.263118,687899,scaffold_6_4
scaffold_6,1453746,1498854,1471377,25000,0.002651,0.003753,0.003141,0.014348,687899,scaffold_6_4
scaffold_6,1498855,1585907,1552015,25000,0.001523,0.002398,0.002729,0.172595,687899,scaffold_6_4
scaffold_6,1585908,1667847,1642432,25000,0.001421,0.002667,0.002259,0.053119,687899,scaffold_6_4
scaffold_6,1667848,1732578,1690917,25000,0.002938,0.003614,0.003689,0.062872,687899,scaffold_6_4
scaffold_6,1732579,1772469,1747780,25000,0.001901,0.002097,0.001865,-0.036053,687899,scaffold_6_4
scaffold_6,1772470,1827162,1797466,25000,0.00193,0.00294,0.002184,-0.058246,687899,scaffold_6_4
scaffold_6,1827163,1858630,1841960,25000,0.001449,0.002862,0.002301,0.034765,687899,scaffold_6_4
scaffold_6,1858631,1939157,1915608,25000,0.001976,0.003521,0.003144,0.062906,687899,scaffold_6_4
scaffold_6,1939158,2087699,2030749,25000,0.000752,0.000735,0.001,0.155075,687899,scaffold_6_4
scaffold_6,2087700,2124108,2106215,25000,0.001812,0.001296,0.001814,0.077113,237804,scaffold_6_5
scaffold_6,2124109,2189946,2154086,25000,0.001626,0.001204,0.001783,0.118498,237804,scaffold_6_5
scaffold_6,2189947,2364391,2282092,25000,0.001384,0.000901,0.001101,-0.027674,237804,scaffold_6_5
scaffold_6,2364392,2423033,2386619,25000,0.001392,0.001156,0.001221,-0.022748,289276,scaffold_6_6
scaffold_6,2423034,2487684,2450683,25000,0.002879,0.001634,0.0019,-0.092117,289276,scaffold_6_6
scaffold_6,2487685,2535250,2513748,25000,0.002622,0.002018,0.002902,0.11488,289276,scaffold_6_6
scaffold_6,2535251,2590338,2567924,25000,0.003018,0.001828,0.003153,0.138289,289276,scaffold_6_6
scaffold_6,2590339,2722382,2620462,25000,0.001555,0.002079,0.001667,-0.045962,289276,scaffold_6_6
scaffold_6,2722383,2758232,2736911,25000,0.0061,0.001717,0.006563,0.265889,148675,scaffold_6_7
scaffold_6,2758233,2858670,2810971,25000,0.002778,0.001442,0.002287,0.034147,148675,scaffold_6_7
scaffold_6,2942285,3009055,2980227,25000,0.002862,0.002966,0.002788,-0.02355,409514,scaffold_6_8
scaffold_6,3009056,3103833,3052930,25000,0.001501,0.00164,0.002069,0.144769,409514,scaffold_6_8
scaffold_6,3103835,3175033,3154193,25000,0.001897,0.002364,0.002004,-0.032795,409514,scaffold_6_8
scaffold_6,3175034,3263763,3236077,25000,0.001718,0.001485,0.001432,-0.059805,409514,scaffold_6_8
scaffold_6,3263764,3338753,3313058,25000,0.003187,0.000711,0.003795,0.328695,409514,scaffold_6_8
scaffold_6,3460985,3554023,3517761,25000,0.001525,0.001199,0.001233,-0.053046,248690,scaffold_6_9
scaffold_6,3554024,3618198,3590306,25000,0.001449,0.001265,0.001287,-0.02827,248690,scaffold_6_9
scaffold_60,104195,143195,126293,25000,0.000792,0.001237,0.001068,0.026525,231913,scaffold_60_1
scaffold_60,143196,217376,185834,25000,0.000556,0.000421,0.000427,-0.071643,231913,scaffold_60_1
scaffold_60,217377,258455,240302,25000,0.00056,0.000542,0.000481,-0.073124,231913,scaffold_60_1
scaffold_60,258456,355886,316230,25000,0.001083,0.000839,0.000837,-0.07365,231913,scaffold_60_1
scaffold_60,355887,388554,373212,25000,0.00139,0.001545,0.001284,-0.071476,314591,scaffold_60_2
scaffold_60,388555,434066,408030,25000,0.00118,0.001148,0.001018,-0.071759,314591,scaffold_60_2
scaffold_60,434067,507314,466129,25000,0.001352,0.001478,0.001264,-0.060291,314591,scaffold_60_2
scaffold_60,507315,603564,536983,25000,0.001304,0.000921,0.00106,-0.024065,314591,scaffold_60_2
scaffold_60,603565,648906,631789,25000,0.002271,0.002329,0.002698,0.086759,314591,scaffold_60_2
scaffold_60,843779,932063,882752,25000,0.00102,0.00097,0.000878,-0.070504,178342,scaffold_60_3
scaffold_60,932064,975476,949688,25000,0.00107,0.000935,0.000881,-0.069334,178342,scaffold_60_3
scaffold_60,975477,1035394,1007407,25000,0.000455,0.000693,0.000577,0.002111,178342,scaffold_60_3
